"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector","current_address_line_1","current_postcode"
"1748","Asphalt Burner Services Limited","2014-15","1,000","2,000",0,"Northern Ireland","Mid Ulster",28210,"Manufacturing","Unit 1-5, 3 Desertmartin Road","BT45 5QY"
"1749","Silverwood Doors","2014-15","1,000","2,000",0,"Northern Ireland","Lisburn and Castlereagh",31020,"Manufacturing","17 Ferguson Drive","BT28 2EX"
"1750","Randox Holdings Limited","2014-15","49,840","99,679",0,"Northern Ireland","Antrim and Newtownabbey",21100,"Manufacturing","55 Diamond Road","BT29 4QY"
"1751","Glens Of Antrim Potatoes","2014-15","4,000","8,163",0,"Northern Ireland","Causeway Coast and Glens",46310,"Wholesale & Retail Trade & Repair of Vehicles","118 Middlepark Road","BT44 0SH"
"1752","Neueda Consulting","2014-15","9,938","19,876",0,"Northern Ireland","Belfast",85590,"Education","Unit 20c Weavers Court Business Park","BT12 5GH"
"1753","Glenbio Ltd","2014-15","49,940","66,587",0,"Northern Ireland","Mid Ulster",20590,"Manufacturing","10 Kilbegs Road","BT41 4NN"
"1754","N. K. Fencing Limited","2014-15","1,200","2,400",0,"Northern Ireland","Mid and East Antrim",32990,"Manufacturing","40 Trailcock Road","BT38 7NU"
"1755","DPC Contracts (NI) Ltd","2014-15","9,500","112,300",2,"Northern Ireland","Mid Ulster",41100,"Construction","163 Washingbay Road","BT71 4QE"
"1756","Donaldson Legal Consulting","2014-15","1,960","4,000",0,"Northern Ireland","Ards and North Down",69100,"Professional, Scientific & Technical Activities","Shore Studios","BT18 9HX"
"1757","DWI (NI) Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Causeway Coast and Glens",41202,"Construction","132 Muldonagh Road","BT47 4EJ"
"1758","Together Save Limited","2014-15","48,000","577,338",8,"Northern Ireland","Belfast",63120,"Information & Communication","2nd Floor Murray's Exchange","BT12 5DR"
"1759","Ispiri Wheels (UK) Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Fermanagh and Omagh",29320,"Manufacturing","Unit 3-4 Mantlin Enterprise","BT93 1TU"
"1760","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Ards and North Down",96090,"Other Service Activities",NA,NA
"1761","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities",NA,NA
"1762","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1763","Dernaseer Engineering Limited","2014-15","9,840","25,600",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","114 Gortlenaghan Road","BT70 3BW"
"1764","Icare Digital Ltd","2014-15","7,550","15,100",0,"Northern Ireland","Belfast",26512,"Manufacturing","Unit 24","BT60 1HW"
"1765","U.M.I. Foods","2014-15","17,996","54,138",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing","Edenaveys Industrial Estate","BT60 1NF"
"1766","Think People Consulting Ltd","2014-15","359","718",0,"Northern Ireland","Belfast",78300,"Admin & Support Service Activities","Floor 12 Causeway Tower","BT2 8DN"
"1767","Specialist Joinery","2014-15","43,732","87,466",0,"Northern Ireland","Mid Ulster",31010,"Manufacturing","100 Coleraine Road","BT46 5BP"
"1768","McLaughlin & Harvey Ltd","2014-15","304,428","2,523,822",0,"Northern Ireland","Antrim and Newtownabbey",41201,"Construction","15 Trench Road","BT36 4TY"
"1769","Tilt-A-Dor Limited","2014-15","2,200","4,400",0,"Northern Ireland","Ards and North Down",25120,"Manufacturing","Jubilee Road","BT23 4YH"
"1770","Tilt-A-Dor Limited","2014-15","1,400","2,800",0,"Northern Ireland","Ards and North Down",25120,"Manufacturing","Jubilee Road","BT23 4YH"
"1771","Unislim Clubs Limited","2014-15","27,000","147,000",4,"Northern Ireland","Newry, Mourne and Down",86900,"Human & Social Work Activities","45 Downshire Road","BT34 1EE"
"1772","Bedwin Soft Furnishing","2014-15","14,750","110,000",4,"Northern Ireland","Newry, Mourne and Down",13920,"Manufacturing","142  Newry Road","BT34 4ET"
"1773","Lowe Rental Ltd","2014-15","26,800","67,000",2,"Irish Republic","Lisburn and Castlereagh",77390,"Admin & Support Service Activities","Unit J Knockmore Industrial Estate","BT28 2EJ"
"1774","Whitemountain Quarries Ltd","2014-15","10,290","21,000",0,"Northern Ireland","Lisburn and Castlereagh",8110,"Mining & Quarrying","11 Sheepwalk Road","BT28 3RD"
"1775","Kane Engineering Limited","2014-15","14,700","30,000",0,"Northern Ireland","Ards and North Down",27120,"Manufacturing","Glenford Road","BT23 4AU"
"1776","Nu-Span Flooring","2014-15","14,250","145,000",3,"Northern Ireland","Fermanagh and Omagh",23610,"Manufacturing","7 The Market Place","BT92 9AN"
"1777","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities",NA,NA
"1778","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities",NA,NA
"1779","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities",NA,NA
"1780","Personnel and Training Services","2014-15","4,000","8,163",0,"Northern Ireland","Mid and East Antrim",78300,"Admin & Support Service Activities","22-24 Henry Street","BT42 3AH"
"1781","PI Communication Limited","2014-15","1,900","3,800",0,"Northern Ireland","Belfast",59120,"Information & Communication","The Watch House","BT10 0JA"
"1782","Clover 51 Limited","2014-15","4,000","8,163",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities","Unit 1 Crebilly Business Park","BT42 4HH"
"1783","Stiona Software Limited","2014-15","26,000","65,000",0,"Northern Ireland","Belfast",62020,"Information & Communication","Office Suite 4 Ormeau House","BT7 1SH"
"1784","Douglas & Grahame Limited","2014-15","24,262","69,376",0,"Northern Ireland","Mid and East Antrim",14131,"Manufacturing","15 Sloefield Drive","BT38 8GX"
"1785","Beyond Business Travel","2014-15","15,500","149,000",3,"Northern Ireland","Belfast",79110,"Admin & Support Service Activities","7 Scottish Provident Building","BT1 6JH"
"1786","McAuley Precision Limited","2014-15","4,000","8,163",0,"Northern Ireland","Causeway Coast and Glens",25620,"Manufacturing","21 Ballymena Road","BT53 7EX"
"1787","M & M Contractors","2014-15","48,000","240,000",2,"Northern Ireland","Belfast",43999,"Construction","4 Pilots View","BT3 9LE"
"1788","JBC Security","2014-15","9,000","130,000",6,"Northern Ireland","Newry, Mourne and Down",80100,"Admin & Support Service Activities","Unit 2 Marshes Trade Centre","BT34 2QU"
"1789","Mastercraft Ireland","2014-15","3,000","74,000",1,"Northern Ireland","Lisburn and Castlereagh",50100,"Transportation & Storage","34  Creevy Road","BT27 6UX"
"1790","Marcon Fit-Out Ltd","2014-15","46,000","410,000",8,"Northern Ireland","Antrim and Newtownabbey",27520,"Manufacturing","Unit A2 Kilbegs Business Park","BT41 4NN"
"1791","Electrical World Limited","2014-15","6,400","16,000",0,"Northern Ireland","Fermanagh and Omagh",26110,"Manufacturing","14 Blackstick Road","BT74 4EB"
"1792","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1793","Bubblebum Holdings Limited","2014-15","4,069","8,138",0,"Northern Ireland","Derry City and Strabane",30990,"Manufacturing","Community Buildings","BT48 8NN"
"1794","CMG Plumbing and Heating","2014-15","1,612","3,225",0,"Northern Ireland","Mid Ulster",33200,"Manufacturing","4 Moss Road","BT80 0BZ"
"1795","Learning To Grow","2014-15","19,900","278,000",6,"Northern Ireland","Mid and East Antrim",11070,"Manufacturing","146 Shore Road","BT40 3HY"
"1796","Rural Area Partnership in Derry Limited","2014-15","4,000","64,000",2,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities","The Old School House","BT47 3TP"
"1797","Cure Design Ltd","2014-15","3,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",31090,"Manufacturing","Carnbane Business Centre","BT35 6QH"
"1798","The Costume Corner Limited","2014-15","4,500","15,000",0,"Northern Ireland","Newry, Mourne and Down",90020,"Arts, Entertainment & Recreation","WIN Business Park","BT35 6PH"
"1799","Anson McCade Limited","2014-15","84,000","504,000",12,"Great Britain","Belfast",78100,"Admin & Support Service Activities","8th Floor The Lifeboat","BT1 3FG"
"1800","Adelphi Guesthouse","2014-15","4,404","11,710",0,"Northern Ireland","Causeway Coast and Glens",55200,"Accommodation & Food Service Activities","67-71 Main Street","BT56 8BN"
"1801","Beasts of war Limited","2014-15","600","1,200",0,"Northern Ireland","Causeway Coast and Glens",82990,"Admin & Support Service Activities","1st Floor River House","BT51 3TP"
"1802","Hanmar Site Investigation Services Limited","2014-15","20,000","275,250",5,"Northern Ireland","Mid and East Antrim",74901,"Professional, Scientific & Technical Activities","24 Craiganboy Park","BT40 3DN"
"1803","Pill Pack + Ltd","2014-15","15,000","180,000",3,"Northern Ireland","Mid and East Antrim",86900,"Human & Social Work Activities","Unit 30","BT42 1FL"
"1804","Rule of Crumb","2014-15","3,160","7,900",0,"Northern Ireland","Antrim and Newtownabbey",10890,"Manufacturing","10 Antrim Business Park","BT41 4LD"
"1805","Whyte and Wood","2014-15","600","1,200",0,"Northern Ireland","Mid and East Antrim",32990,"Manufacturing","82 Dreen Road","BT42 1EE"
"1806","Carella Laminate Systems Ltd.","2014-15","2,037","4,074",0,"Northern Ireland","Derry City and Strabane",31020,"Manufacturing","11 Campsie Business Park","BT47 3XX"
"1807","Collaborative network of companies","2014-15","155,000","415,000",0,"Northern Ireland","",10910,"Manufacturing",NA,NA
"1808","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities",NA,NA
"1809","Blackthorn Design","2014-15","492","984",0,"Northern Ireland","Fermanagh and Omagh",74100,"Professional, Scientific & Technical Activities","44a Lisnaharney Road","BT79 7UF"
"1810","Beasts of war Limited","2014-15","6,000","72,000",3,"Northern Ireland","Causeway Coast and Glens",82990,"Admin & Support Service Activities","1st Floor River House","BT51 3TP"
"1811","Univit Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",46460,"Wholesale & Retail Trade & Repair of Vehicles","57a Anneter Road","BT80 0HZ"
"1812","Western Building Systems Ltd","2014-15","858","1,750",0,"Northern Ireland","Mid Ulster",16230,"Manufacturing","11 Mountjoy Road","BT71 5DU"
"1813","ON Music Limited","2014-15","40,000","309,000",10,"Northern Ireland","Belfast",59200,"Information & Communication","Floor 1 Venture Gate","BT2 7HN"
"1814","Lowden Guitars","2014-15","10,000","20,595",0,"Northern Ireland","Newry, Mourne and Down",32200,"Manufacturing","Unit 22 Down Business Centre","BT30 9UP"
"1815","Northern Innovation (N.I.) Ltd","2014-15","22,400","56,000",2,"Northern Ireland","Lisburn and Castlereagh",71121,"Professional, Scientific & Technical Activities","286 Maryland Industrial Estate","BT23 6BL"
"1816","ShotClip","2014-15","675","1,350",0,"Irish Republic","Newry, Mourne and Down",62012,"Information & Communication","1 Sugarhouse Quay","BT35 6HZ"
"1817","ShotClip","2014-15","2,864","5,728",0,"Irish Republic","Newry, Mourne and Down",62012,"Information & Communication","1 Sugarhouse Quay","BT35 6HZ"
"1818","ShotClip","2014-15","2,000","4,000",0,"Irish Republic","Newry, Mourne and Down",62012,"Information & Communication","1 Sugarhouse Quay","BT35 6HZ"
"1819","UB Solutions Limited","2014-15","1,410","2,820",0,"Northern Ireland","Causeway Coast and Glens",62012,"Information & Communication","Unitas House","BT52 1LB"
"1820","RMB Robinson & Mornin Bookbinders Limited","2014-15","5,490","10,980",0,"Northern Ireland","Belfast",18140,"Manufacturing","Units 1-7 Belfast Industrial Complex","BT13 2EZ"
"1821","Plato Training Ltd","2014-15","1,470","3,000",0,"Northern Ireland","Mid Ulster",63990,"Information & Communication","Priory House West","BT71 7LA"
"1822","Enterprise Stationery Ltd","2014-15","7,068","20,130",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",17290,"Manufacturing","Silverwood Industrial Area","BT66 6LN"
"1823","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1824","Copper Industries (Ireland) Limited","2014-15","115,290","329,400",0,"Northern Ireland","Mid Ulster",25210,"Manufacturing","Toome Industrial Park","BT41 3SF"
"1825","Precept IT Limited","2014-15","15,000","237,500",2,"Northern Ireland","Belfast",62090,"Information & Communication","Forsyth House","BT2 8LA"
"1826","Clear AV Ltd","2014-15","7,056","14,400",0,"Northern Ireland","Lisburn and Castlereagh",46439,"Wholesale & Retail Trade & Repair of Vehicles","1 Crescent Business Park","BT28 2GN"
"1827","Rubber & Plastic Products (NI) Ltd","2014-15","38,133","117,840",0,"Northern Ireland","Belfast",22190,"Manufacturing","30-38 Duncrue Place","BT3 9BU"
"1828","Logicearth Learning Services Ltd","2014-15","99,000","513,000",11,"Northern Ireland","Belfast",62012,"Information & Communication","Unit 2 & 3 Hawthorn House","BT12 6TA"
"1829","Rocklyn Engineering Limited","2014-15","15,750","35,000",1,"Northern Ireland","Lisburn and Castlereagh",32990,"Manufacturing","14 Ballyclough Road","BT28 3UY"
"1830","Dawson Manufacturing & Engineering Ltd","2014-15","51,508","131,770",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",25990,"Manufacturing","3 Charlestown Crescent","BT63 5ZE"
"1831","Heyn Engineering (NI) Limited","2014-15","14,880","39,180",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities","1 Corry Place","BT3 9AH"
"1832","Synergy Outstanding Branding","2014-15","30,400","76,000",2,"Northern Ireland","Lisburn and Castlereagh",82301,"Admin & Support Service Activities","Unit 267, Lisburn Enterprise Centre","BT28 2BP"
"1833","Heron Bros. Limited","2014-15","2,525","5,050",0,"Northern Ireland","Mid Ulster",42990,"Construction","2 St Patrick's Street","BT45 7AL"
"1834","Vanrath","2014-15","2,336","7,205",0,"Northern Ireland","Belfast",78100,"Admin & Support Service Activities","6th Floor Lesley Suites","BT1 4NX"
"1835","Graham's Home Bakery","2014-15","1,538","4,095",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10710,"Manufacturing","6 Barronstown Road","BT25 1NT"
"1836","Moover Limited","2014-15","6,624","16,560",0,"Northern Ireland","Antrim and Newtownabbey",59112,"Information & Communication","82 Loughmagarry Road","BT43 6TP"
"1837","O4 Research Limited","2014-15","1,133","2,266",0,"Northern Ireland","Belfast",72100,"Professional, Scientific & Technical Activities","Concourse III","BT3 9DT"
"1838","Bruce Engineering Services (NI) Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","33 Lindesayville Road","BT80 8UH"
"1839","Maryland Healthcare Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Lisburn and Castlereagh",87200,"Human & Social Work Activities","95 Knockbracken Road","BT23 6BF"
"1840","Teamwear Ireland Limited","2014-15","48,400","313,000",5,"Northern Ireland","Belfast",46420,"Wholesale & Retail Trade & Repair of Vehicles","4-5  Musgrave Business Centre","BT9 7ET"
"1841","Eurofab Engineering","2014-15","22,500","187,200",5,"Northern Ireland","Mid Ulster",28920,"Manufacturing","97 Moy Road","BT71 7DX"
"1842","Universal Engineering Solutions Limited","2014-15","2,750","5,500",0,"Northern Ireland","Belfast",25620,"Manufacturing","14 Dermott Hill Parade","BT12 7GF"
"1843","Finnebrogue Artisan","2014-15","947,615","0",0,"Northern Ireland","Newry, Mourne and Down",10130,"Manufacturing","Unit 6 Down Business Centre","BT30 9UP"
"1844","Allsop Consulting Ltd.","2014-15","46,786","86,643",0,"Northern Ireland","Ards and North Down",62012,"Information & Communication","4A Heron Wharf","BT3 9LE"
"1845","Go walk Talk","2014-15","4,400","8,800",0,"Northern Ireland","Derry City and Strabane",62012,"Information & Communication","The Innovation Centre","BT48 7TG"
"1846","Mahons Hotel","2014-15","5,712","30,474",0,"Northern Ireland","Fermanagh and Omagh",55100,"Accommodation & Food Service Activities","2-10 Mill Street","BT94 1GS"
"1847","Crossland Tankers Limited","2014-15","33,348","115,750",7,"Northern Ireland","Causeway Coast and Glens",29202,"Manufacturing","114 Grove Road","BT46 5QZ"
"1848","The Coffee Box","2014-15","4,232","10,580",0,"Northern Ireland","Newry, Mourne and Down",10850,"Manufacturing","75a Benagh Road","BT34 2JE"
"1849","W&G Baird Limited","2014-15","10,000","55,000",1,"Northern Ireland","Antrim and Newtownabbey",18129,"Manufacturing","Newpark Industrial Estate","BT41 2RS"
"1850","Leaf Consultancy Limited","2014-15","3,438","21,795",0,"Northern Ireland","Belfast",62090,"Information & Communication","Unit 5G Weavers Court","BT12 5GH"
"1851","Orior By Design Limited","2014-15","4,000","8,163",0,"Northern Ireland","Newry, Mourne and Down",31090,"Manufacturing","Unit 12 Greenbank Industrial Estate","BT34 2QU"
"1852","Radius Plastics Limited","2015-16","48,396","259,450",0,"Great Britain","Armagh City, Banbridge and Craigavon",22210,"Manufacturing","Halfpenny Valley Industrial Estate","BT66 8TP"
"1853","The Zip Yard","2014-15","1,700","3,400",0,"Northern Ireland","Belfast",47789,"Wholesale & Retail Trade & Repair of Vehicles","Unit 8A Musgrave Park Industrial Estate","BT9 7ET"
"1854","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1855","Comfizone Ltd","2014-15","60,125","376,500",9,"Northern Ireland","Mid Ulster",31030,"Manufacturing","232 Washingbay Road","BT71 5DS"
"1856","The Zip Yard","2014-15","1,000","2,000",0,"Northern Ireland","Belfast",47789,"Wholesale & Retail Trade & Repair of Vehicles","Unit 8A Musgrave Park Industrial Estate","BT9 7ET"
"1857","Dagwood Technologies Limited","2014-15","4,000","8,163",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25620,"Manufacturing","28 Windsor Hill","BT66 7FZ"
"1858","BMI Trailers Limited","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",29202,"Manufacturing","Unit 20 Granville Industrial Estate","BT70 1NJ"
"1859","Hybrid Mail Solutions Limited","2014-15","4,000","8,163",0,"Northern Ireland","Fermanagh and Omagh",70229,"Professional, Scientific & Technical Activities","Site 6 Lisnaskea Business Complex","BT92 0PE"
"1860","Lucy Annabella Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",20530,"Manufacturing","175 Ballygawley Road","BT70 1RX"
"1861","Armagh Cider Company Ltd","2014-15","43,920","194,550",1,"Northern Ireland","Armagh City, Banbridge and Craigavon",11030,"Manufacturing","73 Drumnasoo Road","BT62 4EX"
"1862","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1863","Northern Hydraulics Ltd","2014-15","39,265","114,186",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","63 Gortgonis Road","BT71 4QG"
"1864","AVEX Cable Jointing Ltd","2014-15","14,700","30,000",0,"Northern Ireland","Causeway Coast and Glens",43210,"Construction","Ceased Trading",NA
"1865","Asset Management (Ireland) Limited","2014-15","20,860","52,150",1,"Northern Ireland","Antrim and Newtownabbey",63990,"Information & Communication","Unit 1 Mallusk View","BT36 4FR"
"1866","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities",NA,NA
"1867","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities",NA,NA
"1868","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities",NA,NA
"1869","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities",NA,NA
"1870","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities",NA,NA
"1871","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1872","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1873","Anderson Mechanical Services","2014-15","3,300","6,600",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",43220,"Construction","41A Tirmacrannon Road","BT61 8LW"
"1874","The Deluxe Group","2015-16","30,477","111,215",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",43999,"Construction","Unit 1","BT62 3EH"
"1875","Waddell Media Limited","2014-15","3,948","9,870",0,"Northern Ireland","Ards and North Down",59113,"Information & Communication","7-12 St Helen's Business Park","BT18 9HQ"
"1876","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1877","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1878","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1879","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1880","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1881","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1882","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1883","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1884","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1885","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1886","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1887","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1888","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities",NA,NA
"1889","Park Electrical Services","2014-15","11,924","33,522",0,"Northern Ireland","Belfast",27120,"Manufacturing","84 Dargan Road","BT3 9JU"
"1890","Box-It (Ireland) Limited","2014-15","17,800","183,150",5,"Northern Ireland","Belfast",17219,"Manufacturing","Unit 11 40 Montgomery Road","BT6 9HL"
"1891","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1892","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities",NA,NA
"1893","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1894","Specialist Joinery","2015-16","61,297","200,930",0,"Northern Ireland","Mid Ulster",31010,"Manufacturing","100 Coleraine Road","BT46 5BP"
"1895","Roonivoolin Naturals Ltd","2014-15","4,650","37,000",0,"Northern Ireland","Causeway Coast and Glens",20420,"Manufacturing","13 North Street","BT54 6BN"
"1896","hpc","2014-15","14,112","28,800",0,"Northern Ireland","Belfast",70229,"Professional, Scientific & Technical Activities","49 Lockview Road","BT9 5FJ"
"1897","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities",NA,NA
"1898","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities",NA,NA
"1899","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities",NA,NA
"1900","Harlequin","2014-15","150,000","1,202,000",20,"Northern Ireland","Lisburn and Castlereagh",22220,"Manufacturing","21 Clarehill Road","BT67 0PB"
"1901","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1902","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1903","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1904","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1905","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1906","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1907","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1908","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1909","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1910","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1911","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1912","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1913","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1914","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1915","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1916","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1917","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities",NA,NA
"1918","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1919","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1920","Bloc Blinds","2014-15","92,000","754,000",23,"Northern Ireland","Mid Ulster",22230,"Manufacturing","26B Station Road","BT45 5DN"
"1921","CMS Global Limited","2014-15","25,047","62,617",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",70229,"Professional, Scientific & Technical Activities","3 Brookfield Industrial Estate","BT32 3AP"
"1922","Thongs Flipflops","2016-17","7,620","19,050",0,"Northern Ireland","Causeway Coast and Glens",47721,"Wholesale & Retail Trade & Repair of Vehicles","233 Loughlin Road","BT52 1UD"
"1923","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1924","UForm","2014-15","80,110","792,081",0,"Northern Ireland","Mid Ulster",31020,"Manufacturing","Creagh Industrial Park","BT41 3UF"
"1925","Camlin Limited","2015-16","362,808","2,122,641",0,"Northern Ireland","Lisburn and Castlereagh",26511,"Manufacturing","31 Ferguson Drive","BT28 2EX"
"1926","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Ards and North Down",96090,"Other Service Activities",NA,NA
"1927","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities",NA,NA
"1928","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Antrim and Newtownabbey",96090,"Other Service Activities",NA,NA
"1929","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities",NA,NA
