"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"314","B H P Alarms Limited","2014-15","302,000",11,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"315","Bitnet Technologies Limited","2015-16","1,846,798",1,"Irish Republic","FINANCIAL&INSURANCE"
"316","Environmental Fabrications Limited","2014-15","9,540",1,"Northern Ireland","MANUFAC"
"317","CRS (NI) Ltd","2014-15","112,200",1,"Northern Ireland","MANUFAC"
"318","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"319","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"320","Adelphi Guesthouse","2015-16","85,930",2,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"321","Kribben Cottages","2014-15","4,500",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"322","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"323","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"324","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"325","PricewaterhouseCoopers","2014-15","3,003,773",1,"Great Britain","PROFESSIONAL&SCI&TECH"
"326","Bayview Contracts Ltd","2014-15","55,400",1,"Northern Ireland","CONST"
"327","CCP Gransden Ltd","2014-15","37,410",1,"Northern Ireland","MANUFAC"
"328","Stevia Gold","2014-15","359,000",7,"Northern Ireland","MANUFAC"
"329","Petal Postforming Limited","2014-15","29,250",1,"Northern Ireland","MANUFAC"
"330","B M Steel Fabrications Limited","2014-15","10,000",1,"Northern Ireland","MANUFAC"
"331","Ulster Supported Employment Limited","2014-15","113,340",2,"Northern Ireland","HUMAN&SOCIALWORK"
"332","Tesab Engineering Limited","2014-15","1,850",1,"Sweden","MANUFAC"
"333","Burrows Trading Ltd","2014-15","188,000",6,"Northern Ireland","WHOLESALE&RETAIL"
"334","C&G Embroidery","2014-15","5,000",1,"Northern Ireland","MANUFAC"
"335","Treze Limited","2014-15","49,000",1,"Northern Ireland","INFO&COMMU"
"336","Texthelp Ltd.","2014-15","12,710",1,"Northern Ireland","INFO&COMMU"
"337","Yumpod Limited","2014-15","15,000",1,"Northern Ireland","INFO&COMMU"
"338","Banshee Silver","2014-15","4,004",1,"Northern Ireland","MANUFAC"
"339","McShane Packaging Limited","2014-15","7,000",1,"Northern Ireland","MANUFAC"
"340","Hyster-Yale UK Limited","2014-15","3,043,850",1,"United States of America","MANUFAC"
"341","Digi-Pop Games Ltd","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"342","B/E Aerospace (UK) Limited","2014-15","1,302,728",1,"United States of America","MANUFAC"
"343","Churchill Mouldings Limited","2014-15","4,500",1,"Northern Ireland","MANUFAC"
"344","Churchill Mouldings Limited","2014-15","9,500",1,"Northern Ireland","MANUFAC"
"345","Crossen Engineering Ltd","2014-15","2,000",1,"Northern Ireland","MANUFAC"
"346","Northern Hydraulics Ltd","2014-15","3,000",1,"Northern Ireland","MANUFAC"
"347","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"348","Causeway Geotech Limited","2014-15","4,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"349","Lite House Greetings Limited","2014-15","5,800",1,"Northern Ireland","WHOLESALE&RETAIL"
"350","RLC (UK) Limited","2014-15","13,558,214",1,"Great Britain","MANUFAC"
"351","The Pierce Partnership","2014-15","437,900",8,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"352","Moore Concrete Products Limited","2014-15","940",1,"Northern Ireland","MANUFAC"
"353","Cirrus Plastics","2014-15","660,000",10,"Northern Ireland","MANUFAC"
"354","Grid Ireland Limited","2014-15","250,000",8,"Northern Ireland","CONST"
"355","Carecall (NI) Limited","2014-15","50,000",2,"Northern Ireland","OTHERSERVICE"
"356","Whites","2014-15","6,249,000",32,"Northern Ireland","MANUFAC"
"357","Biopanda Reagents","2014-15","35,000",2,"Northern Ireland","MANUFAC"
"358","Blackthorn Foods","2014-15","17,188",1,"Northern Ireland","MANUFAC"
"359","NaviNet Limited","2014-15","88,400",1,"United States of America","INFO&COMMU"
"360","Barton Industrial Services Limited","2014-15","429,000",7,"Northern Ireland","MANUFAC"
"361","See Sense","2014-15","4,000",1,"Northern Ireland","INFO&COMMU"
"362","Davison Canners Limited","2014-15","30,000",1,"Northern Ireland","MANUFAC"
"363","Rumble Labs Ltd","2014-15","115,875",1,"Northern Ireland","INFO&COMMU"
"364","Allen & Overy","2014-15","10,821,586",75,"Great Britain","PROFESSIONAL&SCI&TECH"
"365","Taranto Limited","2014-15","3,260",1,"Northern Ireland","MANUFAC"
"366","Nu-Track Limited","2014-15","125,500",1,"Northern Ireland","MANUFAC"
"367","East Coast Seafood","2014-15","8,163",1,"Northern Ireland","MANUFAC"
"368","Denroy Plastics Limited","2014-15","217,254",1,"Northern Ireland","MANUFAC"
"369","Web Recruit Ireland Limited","2014-15","54,180",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"370","Ezystak","2014-15","175,000",6,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"371","Automated Control Systems","2014-15","42,800",2,"Northern Ireland","INFO&COMMU"
"372","ER Media Ltd","2014-15","234,000",8,"Northern Ireland","MANUFAC"
"373","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"374","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"375","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"376","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"377","Sean Jordan Cabins","2014-15","2,940",1,"Northern Ireland","CONST"
"378","Woodburn Engineering (Contracts) Limited","2014-15","3,000",1,"Northern Ireland","MANUFAC"
"379","Poplar Design Limited","2014-15","66,000",3,"Northern Ireland","MANUFAC"
"380","Decora Blind Systems Limited","2014-15","2,880,000",65,"Northern Ireland","MANUFAC"
"381","Sean J Jordan Engineering Limited","2014-15","7,460",1,"Northern Ireland","MANUFAC"
"382","Maurice Walsh & Company Limited","2014-15","9,000",1,"Northern Ireland","MANUFAC"
"383","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"384","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"385","Northern Innovation (N.I.) Ltd","2014-15","49,700",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"386","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"387","Maurice Walsh & Company Limited","2014-15","1,056",1,"Northern Ireland","MANUFAC"
"388","Maurice Walsh & Company Limited","2014-15","2,625",1,"Northern Ireland","MANUFAC"
"389","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"390","Primo Solutions","2014-15","68,460",3,"Northern Ireland","INFO&COMMU"
"391","Maurice Walsh & Company Limited","2014-15","3,650",1,"Northern Ireland","MANUFAC"
"392","Blue Monkee Ltd","2014-15","10,940",1,"Northern Ireland","INFO&COMMU"
"393","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"394","Technical Metals Limited","2014-15","19,200",1,"Northern Ireland","MANUFAC"
"395","Dawson Manufacturing & Engineering Ltd","2014-15","3,250",1,"Northern Ireland","MANUFAC"
"396","Kitchen Bakes","2014-15","7,750",1,"Northern Ireland","MANUFAC"
"397","E Kelly Electrics","2014-15","73,250",2,"Northern Ireland","CONST"
"398","Surfaceform","2014-15","168,958",2,"Northern Ireland","MANUFAC"
"399","Lamont Fireplaces Ltd","2014-15","49,000",2,"Northern Ireland","MANUFAC"
"400","Nu-Track Limited","2014-15","134,900",1,"Northern Ireland","MANUFAC"
"401","Willis Employment Services Limited","2014-15","616,800",7,"Northern Ireland","FINANCIAL&INSURANCE"
"402","Digital Advertising Solutions NI Limited","2014-15","50,200",2,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"403","Farmwizard","2014-15","36,558",1,"Great Britain","INFO&COMMU"
"404","O Neill Communication Ltd","2014-15","81,780",1,"Northern Ireland","MANUFAC"
"405","Locallydocally Limited","2014-15","10,000",1,"Northern Ireland","INFO&COMMU"
"406","Agribarn Ltd","2014-15","20,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"407","Wellington Computer Systems Limited","2014-15","51,480",1,"Canada","INFO&COMMU"
"408","Core M&E Services Limited","2014-15","243,700",8,"Northern Ireland","MANUFAC"
"409","Central Chemical Supplies Limited","2014-15","1,230",1,"Northern Ireland","MANUFAC"
"410","Hugh and Lilys","2014-15","20,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"411","Ripstop","2014-15","12,937",1,"Northern Ireland","WHOLESALE&RETAIL"
"412","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"413","Maurice Walsh & Company Limited","2014-15","68,000",3,"Northern Ireland","MANUFAC"
"414","SLD Technical Services Ltd","2014-15","172,000",6,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"415","Macspec Engineering Ltd","2014-15","3,150",1,"Northern Ireland","CONST"
"416","Brocagh Precision Engineering","2014-15","4,800",1,"Northern Ireland","MANUFAC"
"417","Whyte and Wood","2014-15","70,720",3,"Northern Ireland","MANUFAC"
"418","CG Service (N.Ireland) Ltd","2014-15","4,750",1,"Northern Ireland","MANUFAC"
"419","CG Service (N.Ireland) Ltd","2014-15","1,500",1,"Northern Ireland","MANUFAC"
"420","Hawthorne Forest Products Limited","2014-15","89,600",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"421","B H P Alarms Limited","2014-15","82,350",2,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"422","North West Of Ireland Printing and Publishing Company Limited","2014-15","102,723",2,"Northern Ireland","INFO&COMMU"
"423","Maine Soft Drinks Limited","2014-15","1,160,599",1,"Northern Ireland","MANUFAC"
"424","Forest Feast","2014-15","203,825",4,"Northern Ireland","MANUFAC"
"425","O'Neill Electrics Limited","2014-15","19,480",1,"Northern Ireland","CONST"
"426","Taylor Engineering Services (TES)","2014-15","22,680",1,"Northern Ireland","MANUFAC"
"427","BLK Box","2014-15","90,000",7,"Northern Ireland","ART&ENTER&RECREATION"
"428","BLK Box","2014-15","9,500",1,"Northern Ireland","ART&ENTER&RECREATION"
"429","Uni Baggage Ltd","2014-15","248,000",7,"Northern Ireland","TRANSPORT&STORAGE"
"430","Keenan Seafood Ltd","2014-15","3,650",1,"Northern Ireland","MANUFAC"
"431","David Henderson Design Ltd","2014-15","10,000",1,"Northern Ireland","ART&ENTER&RECREATION"
"432","EMS Environmental Marketing Solutions Ltd","2014-15","35,000",2,"Northern Ireland","MANUFAC"
"433","Adoreboard Limited","2014-15","4,500",1,"Northern Ireland","INFO&COMMU"
"434","e-surveysni","2014-15","65,400",3,"Northern Ireland","OTHERSERVICE"
"435","Scrabo Disability Solutions","2014-15","14,500",1,"Northern Ireland","MANUFAC"
"436","Roadmixer International Limited","2014-15","230,262",2,"United States of America","MANUFAC"
"437","Yummy Bakes","2014-15","1,600",1,"Northern Ireland","MANUFAC"
"438","B9 Energy Control Ltd","2014-15","8,163",1,"Northern Ireland","ELECTRICITYGAS&AIR"
"439","Sandvik Limited","2014-15","3,734,500",55,"Sweden","MANUFAC"
"440","Exploristics Ltd","2014-15","78,338",1,"Northern Ireland","INFO&COMMU"
"441","Scrabo Disability Solutions","2014-15","15,000",1,"Northern Ireland","MANUFAC"
"442","Gregg & Patterson (Engineers) Limited","2014-15","10,000",1,"Northern Ireland","MANUFAC"
"443","Metal Technology Ltd","2014-15","75,000",3,"Northern Ireland","MANUFAC"
"444","Canavan Interiors","2014-15","197,760",4,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"445","Groundsman Industries Limited","2014-15","193,000",1,"Northern Ireland","MANUFAC"
"446","Hudson Trailers","2014-15","168,000",6,"Northern Ireland","MANUFAC"
"447","Redrock Machinery Limited","2014-15","485,000",11,"Northern Ireland","MANUFAC"
"448","Nugent Engineering","2014-15","175,000",1,"Northern Ireland","MANUFAC"
"449","Kiverco Limited","2014-15","85,000",2,"Northern Ireland","MANUFAC"
"450","Compass Financial Associates","2014-15","18,400",1,"Northern Ireland","FINANCIAL&INSURANCE"
"451","Fieldmotion Ltd","2014-15","1,400",1,"Northern Ireland","INFO&COMMU"
"452","Royale Windsor Motor Company (Co. Antrim Northern Ireland) Limited","2014-15","66,000",3,"Northern Ireland","MANUFAC"
"453","Roadmixer International Limited","2014-15","221,677",1,"United States of America","MANUFAC"
"454","Hostsure Northern Ireland Limited","2014-15","15,000",1,"Northern Ireland","INFO&COMMU"
"455","Hall McKnight","2014-15","95,887",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"456","Camlin Limited","2015-16","817,378",1,"Northern Ireland","MANUFAC"
"457","CCL Label Ireland Limited","2014-15","19,404",1,"Northern Ireland","MANUFAC"
"458","Heartsine Technologies Limited","2014-15","849,866",1,"United States of America","MANUFAC"
"459","Easability Showers Limited","2014-15","13,500",1,"Northern Ireland","MANUFAC"
"460","Big Do Music","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"461","Creative Release By Eva","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"462","World Travel Centre Limited","2014-15","224,000",8,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"463","Pinnacle Response Ltd","2014-15","175,000",6,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"464","Loud Mouth Media","2014-15","108,000",4,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"465","Annaghmore Marketing Ltd","2014-15","282,000",11,"Northern Ireland","MANUFAC"
"466","Quinns Belfast (2009) Ltd","2014-15","630,000",1,"Northern Ireland","MANUFAC"
"467","See Sense","2014-15","15,000",1,"Northern Ireland","INFO&COMMU"
"468","PGY Group Limited","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"469","FinTrU","2014-15","496,354",1,"Great Britain","FINANCIAL&INSURANCE"
"470","Market Resource Partners Limited","2014-15","5,644,000",78,"Northern Ireland","FINANCIAL&INSURANCE"
"471","Steel Lintels Ireland Ltd","2014-15","70,000",3,"Northern Ireland","MANUFAC"
"472","Pneutrol International Limited","2014-15","3,250",1,"Northern Ireland","MANUFAC"
"473","P.M. Fireplaces Limited","2014-15","11,310",1,"Northern Ireland","MANUFAC"
"474","Whyte and Wood","2014-15","6,300",1,"Northern Ireland","MANUFAC"
"475","Name cannot be released","2014-15","3,000",1,"Northern Ireland","MANUFAC"
"476","Adman Civil Projects Limited","2014-15","123,830",3,"Northern Ireland","CONST"
"477","Inspired Furniture Ltd","2014-15","8,000",1,"Northern Ireland","MANUFAC"
"478","Robinson & McIlwaine Chartered Architects","2014-15","81,329",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"479","McKeown Fine Foods Limited","2014-15","40,680",1,"Northern Ireland","MANUFAC"
"480","Acorn IT Solutions Limited","2014-15","146,780",3,"Northern Ireland","INFO&COMMU"
"481","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"482","Shnuggle","2014-15","6,500",1,"Northern Ireland","MANUFAC"
"483","Big Mountain Productions Limited","2014-15","3,211",1,"Northern Ireland","INFO&COMMU"
"484","KIT Ireland Limited","2014-15","81,800",3,"Northern Ireland","MANUFAC"
"485","Ruach Music Ltd","2014-15","1,800",1,"Northern Ireland","MANUFAC"
"486","Outsource Solutions (NI) Ltd","2014-15","178,300",3,"Northern Ireland","INFO&COMMU"
"487","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"488","Beall Agri Ltd","2014-15","208,660",5,"Northern Ireland","MANUFAC"
"489","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"490","Dawson Hinds","2014-15","28,000",3,"Northern Ireland","WHOLESALE&RETAIL"
"491","Lite House Greetings Limited","2014-15","263,280",6,"Northern Ireland","WHOLESALE&RETAIL"
"492","Almac Group Limited","2014-15","32,700,000",87,"Northern Ireland","MANUFAC"
"493","Almac Group Limited","2014-15","22,120,000",94,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"494","John McKee Solicitors","2014-15","63,500",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"495","Courtney Contracts","2014-15","8,163",1,"Northern Ireland","CONST"
"496","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"497","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"498","Heartsine Technologies Limited","2014-15","575,554",1,"United States of America","MANUFAC"
"499","The Debt Recovery Agency","2014-15","70,000",6,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"500","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"501","Barastonedesign Ltd","2014-15","9,000",1,"Northern Ireland","MINING&QUERRY"
"502","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"503","Name cannot be released","2014-15","18,000",1,"Northern Ireland","OTHERSERVICE"
"504","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"505","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"506","Legenderry Brewing Company Limited","2014-15","9,000",1,"Northern Ireland","MANUFAC"
"507","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"508","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"509","The Debt Recovery Agency","2014-15","20,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"510","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"511","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"512","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"513","Manor Architects Ltd","2014-15","12,014",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"514","Dynamic Design Consultants Ltd","2014-15","64,120",3,"Northern Ireland","MANUFAC"
"515","Sixteen South Ltd","2014-15","3,601",1,"Northern Ireland","INFO&COMMU"
"516","Name cannot be released","2014-15","10,000",1,"Northern Ireland","MANUFAC"
"517","Moyle Engineering","2014-15","393,200",11,"Northern Ireland","MANUFAC"
"518","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"519","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"520","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"521","Castle Paving Ireland Ltd","2014-15","173,350",5,"Northern Ireland","CONST"
"522","Mooney Hotel Group","2014-15","19,850",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"523","HSI Comada NI Limited","2014-15","170,000",6,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"524","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"525","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"526","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"527","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"528","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
