"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"1681","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1682","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"1683","Tomorrow's Training","2014-15","1,000","9,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"1684","Riddell ATVs Limited","2014-15","750","1,500",0,"Northern Ireland","Fermanagh and Omagh",29100,"Manufacturing"
"1685","Riddell ATVs Limited","2014-15","2,063","4,125",0,"Northern Ireland","Fermanagh and Omagh",29100,"Manufacturing"
"1686","Riddell ATVs Limited","2014-15","2,824","5,648",0,"Northern Ireland","Fermanagh and Omagh",29100,"Manufacturing"
"1687","Inspire Loyalty","2014-15","1,475","2,950",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities"
"1688","Cabragh Engineering Limited","2014-15","4,038","15,895",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"1689","Ezystak","2014-15","35,000","260,000",7,"Northern Ireland","Mid Ulster",71121,"Professional, Scientific & Technical Activities"
"1690","BSK Engineering Ltd","2014-15","17,400","130,000",4,"Northern Ireland","Mid Ulster",71121,"Professional, Scientific & Technical Activities"
"1691","Sherwood Systems Limited","2014-15","90,476","180,952",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"1692","Lagan Cement Products Limited","2014-15","24,000","120,000",1,"Northern Ireland","Lisburn and Castlereagh",23610,"Manufacturing"
"1693","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"1694","Laser Prototypes (Europe) Limited","2014-15","25,173","83,910",0,"Northern Ireland","Belfast",22210,"Manufacturing"
"1695","Raygar Ltd","2014-15","9,600","28,150",1,"Northern Ireland","Mid Ulster",32200,"Manufacturing"
"1696","Willsborough Biogas","2014-15","4,000","8,163",0,"Northern Ireland","Derry City and Strabane",35110,"Electricity, Gas, Steam & Air Conditioning Supply"
"1697","Maximus Crushing & Screening Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"1698","Porta-Fill International Limited","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"1699","Advanced Electronic Solutions Global Ltd","2014-15","14,880","37,200",1,"Northern Ireland","Mid Ulster",26301,"Manufacturing"
"1700","Mooney Hotel Group","2014-15","6,400","12,800",0,"Northern Ireland","Belfast",55100,"Accommodation & Food Service Activities"
"1701","Principal Cooling Ltd","2014-15","42,000","400,000",6,"Northern Ireland","Mid Ulster",28250,"Manufacturing"
"1702","Beat Street Ltd","2014-15","8,700","17,400",0,"Northern Ireland","Mid and East Antrim",32200,"Manufacturing"
"1703","MK Surface Treatment Ltd","2014-15","7,769","15,538",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"1704","Payescape","2014-15","63,000","336,074",7,"United States of America","Causeway Coast and Glens",62090,"Information & Communication"
"1705","Boomer Industries Limited","2014-15","41,506","125,020",1,"Northern Ireland","Lisburn and Castlereagh",22230,"Manufacturing"
"1706","Anderson Interiors Limited","2014-15","3,853","7,706",0,"Northern Ireland","Mid Ulster",13921,"Manufacturing"
"1707","J.K. Fabrications Limited","2014-15","94,972","471,280",14,"Northern Ireland","Newry, Mourne and Down",42910,"Construction"
"1708","The Tomorrow Lab Create Ltd","2014-15","3,920","8,000",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"1709","Gilfresh Produce","2014-15","14,700","30,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing"
"1710","JLM Composites Ltd","2014-15","1,700","3,400",0,"Northern Ireland","Mid Ulster",22220,"Manufacturing"
"1711","Cloughbane Farm Foods","2014-15","8,820","18,000",0,"Northern Ireland","Mid Ulster",10130,"Manufacturing"
"1712","Anaconda Equipment International Ltd","2014-15","48,803","180,750",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"1713","E. Henry Engineering Services","2014-15","48,754","97,508",0,"Northern Ireland","Causeway Coast and Glens",28290,"Manufacturing"
"1714","Export Technologies Ltd","2014-15","161,969","404,923",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"1715","Morrow Foods","2014-15","11,700","72,600",1,"Northern Ireland","Mid Ulster",10850,"Manufacturing"
"1716","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"1717","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities"
"1718","Hair Box Ltd","2014-15","7,000","32,000",1,"Northern Ireland","Ards and North Down",82990,"Admin & Support Service Activities"
"1719","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities"
"1720","Totalis Solutions Limited","2014-15","24,000","63,475",0,"Northern Ireland","Belfast",43999,"Construction"
"1721","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"1722","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1723","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"1724","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1725","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"1726","Love Hockey Ireland","2014-15","4,000","77,288",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",93199,"Arts, Entertainment & Recreation"
"1727","Ecoerne Consulting","2014-15","4,825","9,650",0,"Northern Ireland","Fermanagh and Omagh",74909,"Professional, Scientific & Technical Activities"
"1728","Electronic & Security Services Ltd","2014-15","1,100","2,200",0,"Northern Ireland","Belfast",80200,"Admin & Support Service Activities"
"1729","O3 Group Ltd","2014-15","2,177","4,354",0,"Northern Ireland","Belfast",46690,"Wholesale & Retail Trade & Repair of Vehicles"
"1730","Hercules Brewing & Co. Limited","2014-15","5,000","30,000",1,"Northern Ireland","Belfast",11050,"Manufacturing"
"1731","Millar Engineering","2014-15","2,317","8,320",0,"Northern Ireland","Mid Ulster",42990,"Construction"
"1732","Benburb Bramleys Limited","2014-15","47,100","117,750",0,"Northern Ireland","Mid Ulster",10390,"Manufacturing"
"1733","Patrick F Corr Limited","2014-15","2,537","10,208",0,"Northern Ireland","Causeway Coast and Glens",74902,"Professional, Scientific & Technical Activities"
"1734","Whitehat Security","2014-15","400,000","4,155,976",80,"United States of America","Belfast",62090,"Information & Communication"
"1735","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"1736","Stonefit Ltd","2014-15","5,000","63,000",1,"Northern Ireland","Mid Ulster",43390,"Construction"
"1737","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"1738","Blu Marine Ltd","2014-15","20,000","100,000",1,"Northern Ireland","Belfast",30110,"Manufacturing"
"1739","Stream Dynamics Limited","2014-15","29,400","352,000",5,"Northern Ireland","Antrim and Newtownabbey",80200,"Admin & Support Service Activities"
"1740","The Right Key (Lisburn) Community Interest Company","2014-15","5,800","77,000",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",96040,"Other Service Activities"
"1741","Automated Intelligence Limited","2014-15","30,980","110,700",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"1742","Big Motive Ltd","2014-15","15,000","38,400",0,"Northern Ireland","Belfast",59110,"Information & Communication"
"1743","Bairnsdale Developments Limited","2014-15","1,960","4,000",0,"Northern Ireland","Lisburn and Castlereagh",31090,"Manufacturing"
"1744","Moy Park Limited","2016-17","866,844","3,318,216",0,"Brazil","Armagh City, Banbridge and Craigavon",10120,"Manufacturing"
"1745","Anaeko Limited","2014-15","1,838","3,750",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"1746","Maxwell Concrete","2014-15","2,125","4,250",0,"Northern Ireland","Derry City and Strabane",23610,"Manufacturing"
"1747","MacSheds","2014-15","900","1,800",0,"Northern Ireland","Mid Ulster",25110,"Manufacturing"
"1748","Asphalt Burner Services Limited","2014-15","1,000","2,000",0,"Northern Ireland","Mid Ulster",28210,"Manufacturing"
"1749","Silverwood Doors","2014-15","1,000","2,000",0,"Northern Ireland","Lisburn and Castlereagh",31020,"Manufacturing"
"1750","Randox Holdings Limited","2014-15","49,840","99,679",0,"Northern Ireland","Antrim and Newtownabbey",21100,"Manufacturing"
"1751","Glens Of Antrim Potatoes","2014-15","4,000","8,163",0,"Northern Ireland","Causeway Coast and Glens",46310,"Wholesale & Retail Trade & Repair of Vehicles"
"1752","Neueda Consulting","2014-15","9,938","19,876",0,"Northern Ireland","Belfast",85590,"Education"
"1753","Glenbio Ltd","2014-15","49,940","66,587",0,"Northern Ireland","Mid Ulster",20590,"Manufacturing"
"1754","N. K. Fencing Limited","2014-15","1,200","2,400",0,"Northern Ireland","Mid and East Antrim",32990,"Manufacturing"
"1755","DPC Contracts (NI) Ltd","2014-15","9,500","112,300",2,"Northern Ireland","Mid Ulster",41100,"Construction"
"1756","Donaldson Legal Consulting","2014-15","1,960","4,000",0,"Northern Ireland","Ards and North Down",69100,"Professional, Scientific & Technical Activities"
"1757","DWI (NI) Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Causeway Coast and Glens",41202,"Construction"
"1758","Together Save Limited","2014-15","48,000","577,338",8,"Northern Ireland","Belfast",63120,"Information & Communication"
"1759","Ispiri Wheels (UK) Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Fermanagh and Omagh",29320,"Manufacturing"
"1760","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Ards and North Down",96090,"Other Service Activities"
"1761","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities"
"1762","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1763","Dernaseer Engineering Limited","2014-15","9,840","25,600",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"1764","Icare Digital Ltd","2014-15","7,550","15,100",0,"Northern Ireland","Belfast",26512,"Manufacturing"
"1765","U.M.I. Foods","2014-15","17,996","54,138",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing"
"1766","Think People Consulting Ltd","2014-15","359","718",0,"Northern Ireland","Belfast",78300,"Admin & Support Service Activities"
"1767","Specialist Joinery","2014-15","43,732","87,466",0,"Northern Ireland","Mid Ulster",31010,"Manufacturing"
"1768","McLaughlin & Harvey Ltd","2014-15","304,428","2,523,822",0,"Northern Ireland","Antrim and Newtownabbey",41201,"Construction"
"1769","Tilt-A-Dor Limited","2014-15","2,200","4,400",0,"Northern Ireland","Ards and North Down",25120,"Manufacturing"
"1770","Tilt-A-Dor Limited","2014-15","1,400","2,800",0,"Northern Ireland","Ards and North Down",25120,"Manufacturing"
"1771","Unislim Clubs Limited","2014-15","27,000","147,000",4,"Northern Ireland","Newry, Mourne and Down",86900,"Human & Social Work Activities"
"1772","Bedwin Soft Furnishing","2014-15","14,750","110,000",4,"Northern Ireland","Newry, Mourne and Down",13920,"Manufacturing"
"1773","Lowe Rental Ltd","2014-15","26,800","67,000",2,"Irish Republic","Lisburn and Castlereagh",77390,"Admin & Support Service Activities"
"1774","Whitemountain Quarries Ltd","2014-15","10,290","21,000",0,"Northern Ireland","Lisburn and Castlereagh",8110,"Mining & Quarrying"
"1775","Kane Engineering Limited","2014-15","14,700","30,000",0,"Northern Ireland","Ards and North Down",27120,"Manufacturing"
"1776","Nu-Span Flooring","2014-15","14,250","145,000",3,"Northern Ireland","Fermanagh and Omagh",23610,"Manufacturing"
"1777","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"1778","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"1779","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities"
"1780","Personnel and Training Services","2014-15","4,000","8,163",0,"Northern Ireland","Mid and East Antrim",78300,"Admin & Support Service Activities"
"1781","PI Communication Limited","2014-15","1,900","3,800",0,"Northern Ireland","Belfast",59120,"Information & Communication"
"1782","Clover 51 Limited","2014-15","4,000","8,163",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities"
"1783","Stiona Software Limited","2014-15","26,000","65,000",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"1784","Douglas & Grahame Limited","2014-15","24,262","69,376",0,"Northern Ireland","Mid and East Antrim",14131,"Manufacturing"
"1785","Beyond Business Travel","2014-15","15,500","149,000",3,"Northern Ireland","Belfast",79110,"Admin & Support Service Activities"
"1786","McAuley Precision Limited","2014-15","4,000","8,163",0,"Northern Ireland","Causeway Coast and Glens",25620,"Manufacturing"
"1787","M & M Contractors","2014-15","48,000","240,000",2,"Northern Ireland","Belfast",43999,"Construction"
"1788","JBC Security","2014-15","9,000","130,000",6,"Northern Ireland","Newry, Mourne and Down",80100,"Admin & Support Service Activities"
"1789","Mastercraft Ireland","2014-15","3,000","74,000",1,"Northern Ireland","Lisburn and Castlereagh",50100,"Transportation & Storage"
"1790","Marcon Fit-Out Ltd","2014-15","46,000","410,000",8,"Northern Ireland","Antrim and Newtownabbey",27520,"Manufacturing"
"1791","Electrical World Limited","2014-15","6,400","16,000",0,"Northern Ireland","Fermanagh and Omagh",26110,"Manufacturing"
"1792","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1793","Bubblebum Holdings Limited","2014-15","4,069","8,138",0,"Northern Ireland","Derry City and Strabane",30990,"Manufacturing"
"1794","CMG Plumbing and Heating","2014-15","1,612","3,225",0,"Northern Ireland","Mid Ulster",33200,"Manufacturing"
"1795","Learning To Grow","2014-15","19,900","278,000",6,"Northern Ireland","Mid and East Antrim",11070,"Manufacturing"
"1796","Rural Area Partnership in Derry Limited","2014-15","4,000","64,000",2,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
