"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"8199","McFarland Associates Limited","2018-19","25,136","52,065",0,"Northern Ireland","Belfast",71129,"Professional, Scientific & Technical Activities"
"8200","Meritcom Limited","2018-19","3,116","10,399",0,"Northern Ireland","Derry City and Strabane",35120,"Electricity, Gas, Steam & Air Conditioning Supply"
"8201","Cherry Pipes Limited","2018-19","20,000","20,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",22290,"Manufacturing"
"8202","IN2 Engineering Design Partnership Ltd ","2018-19","39,000","260,000",2,"Northern Ireland","Belfast",71122,"Professional, Scientific & Technical Activities"
"8203","A1 Solutions (NI) Limited","2018-19","6,583","22,989",0,"Northern Ireland","Belfast",74100,"Professional, Scientific & Technical Activities"
"8204","Causeway Securities Limited","2018-19","42,300","141,000",0,"Great Britain","Belfast",64301,"Financial & Insurance Activities"
"8205","Galgorm Group","2018-19","24,940","71,255",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities"
"8206","Bemis Europe Services Limited","2018-19","175,650","771,868",0,"United States Of America","Derry City and Strabane",70100,"Professional, Scientific & Technical Activities"
"8207","Kukoon","2018-19","2,450","5,000",0,"Northern Ireland","Newry, Mourne and Down",47910,"Wholesale & Retail Trade & Repair of Vehicles"
"8208","Tyroc Industries Limited","2018-19","9,275","18,550",0,"Northern Ireland","Mid Ulster",27900,"Manufacturing"
"8209","TeamFeePay","2018-19","2,940","6,000",0,"Northern Ireland","Belfast",62011,"Information & Communication"
"8210","Anibioid Ltd","2018-19","4,975","9,950",0,"Northern Ireland","Mid Ulster",75000,"Professional, Scientific & Technical Activities"
"8211","Linden Foods Limited","2018-19","229,272","1,713,394",0,"Northern Ireland","Mid Ulster",10110,"Manufacturing"
"8212","Fine Point Films Ltd","2018-19","27,000","275,000",3,"Northern Ireland","Belfast",59110,"Information & Communication"
"8213","Taylor Engineering Services (TES)","2018-19","13,991","58,012",0,"Northern Ireland","Mid Ulster",26512,"Manufacturing"
"8214","Vita Materials","2018-19","26,900","152,000",4,"Irish Republic","Lisburn and Castlereagh",32990,"Manufacturing"
"8215","SciLeads Ltd.","2018-19","8,000","16,000",0,"Northern Ireland","Belfast",58290,"Information & Communication"
"8216","The Elmfield Institute","2018-19","1,500","5,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",85600,"Education"
"8217","AMK Hardware Limited","2018-19","48,000","369,000",8,"Northern Ireland","Armagh City, Banbridge and Craigavon",16210,"Manufacturing"
"8218","W. G. Buchanan & Son Limited","2018-19","4,195","8,390",0,"Northern Ireland","Mid and East Antrim",46390,"Wholesale & Retail Trade & Repair of Vehicles"
"8219","PROLOGIC","2018-19","7,200","14,400",0,"Northern Ireland","Mid Ulster",62012,"Information & Communication"
"8220","Made to Engage","2018-19","2,450","5,000",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"8221","Edgewater Contracts","2018-19","1,960","4,000",0,"Northern Ireland","Mid Ulster",31010,"Manufacturing"
"8222","DR Gates & Railings","2018-19","45,000","450,380",7,"Northern Ireland","Causeway Coast and Glens",25990,"Manufacturing"
"8223","Nugent Engineering","2018-19","35,791","133,920",0,"Northern Ireland","Mid Ulster",28302,"Manufacturing"
"8224","Viltra","2018-19","1,600","7,000",0,"Northern Ireland","Newry, Mourne and Down",36000,"Water Supply, Sewerage, Waste Management & Remediation Activities"
